x y vx vy charge mass
-0.5 -0.5 0 0 -0.05 1
-0.5 0.5 0 0 0.05 1
0.5 -0.5 0 0 -0.05 1
0.5 0.5 0 0 0.05 1
-0.5 -1.5 0 0 -0.05 1
-0.5 1.5 0 0 0.05 1
0.5 -1.5 0 0 -0.05 1
0.5 1.5 0 0 0.05 1
-0.5 -2.5 0 0 -0.05 1
-0.5 2.5 0 0 0.05 1
0.5 -2.5 0 0 -0.05 1
0.5 2.5 0 0 0.05 1
-0.5 -3.5 0 0 -0.05 1
-0.5 3.5 0 0 0.05 1
0.5 -3.5 0 0 -0.05 1
0.5 3.5 0 0 0.05 1
-0.5 -4.5 0 0 -0.05 1
-0.5 4.5 0 0 0.05 1
0.5 -4.5 0 0 -0.05 1
0.5 4.5 0 0 0.05 1
-0.5 -5.5 0 0 -0.05 1
-0.5 5.5 0 0 0.05 1
0.5 -5.5 0 0 -0.05 1
0.5 5.5 0 0 0.05 1
-0.5 -6.5 0 0 -0.05 1
-0.5 6.5 0 0 0.05 1
0.5 -6.5 0 0 -0.05 1
0.5 6.5 0 0 0.05 1
-0.5 -7.5 0 0 -0.05 1
-0.5 7.5 0 0 0.05 1
0.5 -7.5 0 0 -0.05 1
0.5 7.5 0 0 0.05 1
-0.5 -8.5 0 0 -0.05 1
-0.5 8.5 0 0 0.05 1
0.5 -8.5 0 0 -0.05 1
0.5 8.5 0 0 0.05 1
-0.5 -9.5 0 0 -0.05 1
-0.5 9.5 0 0 0.05 1
0.5 -9.5 0 0 -0.05 1
0.5 9.5 0 0 0.05 1
-1.5 -0.5 0 0 -0.05 1
-1.5 0.5 0 0 0.05 1
1.5 -0.5 0 0 -0.05 1
1.5 0.5 0 0 0.05 1
-1.5 -1.5 0 0 -0.05 1
-1.5 1.5 0 0 0.05 1
1.5 -1.5 0 0 -0.05 1
1.5 1.5 0 0 0.05 1
-1.5 -2.5 0 0 -0.05 1
-1.5 2.5 0 0 0.05 1
1.5 -2.5 0 0 -0.05 1
1.5 2.5 0 0 0.05 1
-1.5 -3.5 0 0 -0.05 1
-1.5 3.5 0 0 0.05 1
1.5 -3.5 0 0 -0.05 1
1.5 3.5 0 0 0.05 1
-1.5 -4.5 0 0 -0.05 1
-1.5 4.5 0 0 0.05 1
1.5 -4.5 0 0 -0.05 1
1.5 4.5 0 0 0.05 1
-1.5 -5.5 0 0 -0.05 1
-1.5 5.5 0 0 0.05 1
1.5 -5.5 0 0 -0.05 1
1.5 5.5 0 0 0.05 1
-1.5 -6.5 0 0 -0.05 1
-1.5 6.5 0 0 0.05 1
1.5 -6.5 0 0 -0.05 1
1.5 6.5 0 0 0.05 1
-1.5 -7.5 0 0 -0.05 1
-1.5 7.5 0 0 0.05 1
1.5 -7.5 0 0 -0.05 1
1.5 7.5 0 0 0.05 1
-1.5 -8.5 0 0 -0.05 1
-1.5 8.5 0 0 0.05 1
1.5 -8.5 0 0 -0.05 1
1.5 8.5 0 0 0.05 1
-1.5 -9.5 0 0 -0.05 1
-1.5 9.5 0 0 0.05 1
1.5 -9.5 0 0 -0.05 1
1.5 9.5 0 0 0.05 1
-2.5 -0.5 0 0 -0.05 1
-2.5 0.5 0 0 0.05 1
2.5 -0.5 0 0 -0.05 1
2.5 0.5 0 0 0.05 1
-2.5 -1.5 0 0 -0.05 1
-2.5 1.5 0 0 0.05 1
2.5 -1.5 0 0 -0.05 1
2.5 1.5 0 0 0.05 1
-2.5 -2.5 0 0 -0.05 1
-2.5 2.5 0 0 0.05 1
2.5 -2.5 0 0 -0.05 1
2.5 2.5 0 0 0.05 1
-2.5 -3.5 0 0 -0.05 1
-2.5 3.5 0 0 0.05 1
2.5 -3.5 0 0 -0.05 1
2.5 3.5 0 0 0.05 1
-2.5 -4.5 0 0 -0.05 1
-2.5 4.5 0 0 0.05 1
2.5 -4.5 0 0 -0.05 1
2.5 4.5 0 0 0.05 1
-2.5 -5.5 0 0 -0.05 1
-2.5 5.5 0 0 0.05 1
2.5 -5.5 0 0 -0.05 1
2.5 5.5 0 0 0.05 1
-2.5 -6.5 0 0 -0.05 1
-2.5 6.5 0 0 0.05 1
2.5 -6.5 0 0 -0.05 1
2.5 6.5 0 0 0.05 1
-2.5 -7.5 0 0 -0.05 1
-2.5 7.5 0 0 0.05 1
2.5 -7.5 0 0 -0.05 1
2.5 7.5 0 0 0.05 1
-2.5 -8.5 0 0 -0.05 1
-2.5 8.5 0 0 0.05 1
2.5 -8.5 0 0 -0.05 1
2.5 8.5 0 0 0.05 1
-2.5 -9.5 0 0 -0.05 1
-2.5 9.5 0 0 0.05 1
2.5 -9.5 0 0 -0.05 1
2.5 9.5 0 0 0.05 1
-3.5 -0.5 0 0 -0.05 1
-3.5 0.5 0 0 0.05 1
3.5 -0.5 0 0 -0.05 1
3.5 0.5 0 0 0.05 1
-3.5 -1.5 0 0 -0.05 1
-3.5 1.5 0 0 0.05 1
3.5 -1.5 0 0 -0.05 1
3.5 1.5 0 0 0.05 1
-3.5 -2.5 0 0 -0.05 1
-3.5 2.5 0 0 0.05 1
3.5 -2.5 0 0 -0.05 1
3.5 2.5 0 0 0.05 1
-3.5 -3.5 0 0 -0.05 1
-3.5 3.5 0 0 0.05 1
3.5 -3.5 0 0 -0.05 1
3.5 3.5 0 0 0.05 1
-3.5 -4.5 0 0 -0.05 1
-3.5 4.5 0 0 0.05 1
3.5 -4.5 0 0 -0.05 1
3.5 4.5 0 0 0.05 1
-3.5 -5.5 0 0 -0.05 1
-3.5 5.5 0 0 0.05 1
3.5 -5.5 0 0 -0.05 1
3.5 5.5 0 0 0.05 1
-3.5 -6.5 0 0 -0.05 1
-3.5 6.5 0 0 0.05 1
