x y vx vy mass charge
-24.248 -22.4 -0.497426 -0.509595 1 -0.01
-23.2781 -21.84 -0.500406 -0.413755 1 0.01
-22.3082 -22.4 0.231313 -0.321487 1 -0.01
-21.3382 -21.84 0.00598997 -0.304844 1 0.01
-20.3683 -22.4 -0.44984 -0.119756 1 -0.01
-19.3984 -21.84 -0.0438316 -0.230388 1 0.01
-18.4285 -22.4 0.0528431 0.231065 1 -0.01
-17.4586 -21.84 0.222616 -0.17573 1 0.01
-16.4886 -22.4 0.195412 0.0826839 1 -0.01
-15.5187 -21.84 0.0969194 -0.281719 1 0.01
-14.5488 -22.4 0.471837 -0.227048 1 -0.01
-13.5789 -21.84 -0.0738924 0.0360783 1 0.01
-12.609 -22.4 0.294954 0.159787 1 -0.01
-11.639 -21.84 0.112216 -0.480561 1 0.01
-10.6691 -22.4 -0.320681 -0.436139 1 -0.01
-9.6992 -21.84 -0.297304 0.441825 1 0.01
-8.72928 -22.4 -0.134659 -0.244603 1 -0.01
-7.75936 -21.84 -0.314839 -0.204791 1 0.01
-6.78944 -22.4 0.435504 -0.41576 1 -0.01
-5.81952 -21.84 0.495762 -0.340467 1 0.01
-4.8496 -22.4 -0.411616 0.389593 1 -0.01
-3.87968 -21.84 -0.115097 -0.178753 1 0.01
-2.90976 -22.4 -0.152955 0.185867 1 -0.01
-1.93984 -21.84 -0.0992799 0.169213 1 0.01
-0.96992 -22.4 0.0261677 0.107343 1 -0.01
0 -21.84 -0.0716996 -0.342475 1 0.01
0.96992 -22.4 0.378796 -0.12723 1 -0.01
1.93984 -21.84 0.335442 -0.424164 1 0.01
2.90976 -22.4 0.146531 0.327619 1 -0.01
3.87968 -21.84 -0.390382 0.400209 1 0.01
4.8496 -22.4 0.0678499 0.28462 1 -0.01
5.81952 -21.84 -0.271934 0.347457 1 0.01
6.78944 -22.4 -0.179357 0.311719 1 -0.01
7.75936 -21.84 0.460597 0.43428 1 0.01
8.72928 -22.4 0.226679 -0.4613 1 -0.01
9.6992 -21.84 -0.331844 0.22055 1 0.01
10.6691 -22.4 0.375319 0.0847576 1 -0.01
11.639 -21.84 -0.45234 0.473703 1 0.01
12.609 -22.4 -0.475736 -0.272406 1 -0.01
13.5789 -21.84 -0.416561 0.0498323 1 0.01
14.5488 -22.4 0.135346 -0.487363 1 -0.01
15.5187 -21.84 -0.322013 -0.362569 1 0.01
16.4886 -22.4 -0.384479 -0.41178 1 -0.01
17.4586 -21.84 -0.501891 -0.0505917 1 0.01
18.4285 -22.4 -0.467247 0.0683377 1 -0.01
19.3984 -21.84 0.0882592 -0.317065 1 0.01
20.3683 -22.4 -0.212084 -0.293225 1 -0.01
21.3382 -21.84 0.257094 0.334677 1 0.01
22.3082 -22.4 -0.200169 -0.261979 1 -0.01
23.2781 -21.84 -0.356296 -0.150892 1 0.01
-24.248 -21.28 0.00228349 0.394317 1 -0.01
-23.2781 -20.72 0.493529 0.076949 1 0.01
-22.3082 -21.28 -0.215705 0.325341 1 -0.01
-21.3382 -20.72 0.4467 0.09064 1 0.01
