x y vx vy mass charge
-9.79699 -11.6599 0.00350342 0.00149501 1 0.02
-6.16944 -16.2629 0.000878245 -0.00122079 1 0.02
-1.90535 -16.1758 0.00168869 0.0034177 1 0.02
-1.38589 -19.0304 -0.00180685 8.15919e-05 1 0.02
-9.36141 -14.4856 -0.00126742 0.00218602 1 0.02
-3.46482 -13.397 -0.000249961 -0.000578457 1 0.02
-2.48981 -19.0376 0.00117849 -0.00339779 1 0.02
-0.840313 -16.1688 -0.000209912 -0.00124801 1 0.02
-5.61295 -15.2915 -0.000808241 0.00199902 1 0.02
0.238669 -18.061 -0.00518319 -0.000215234 1 0.02
-4.09574 -18.1187 -0.003851 -0.00262933 1 0.02
0.759466 -17.106 -0.000238366 -0.00604043 1 0.02
-2.42707 -15.2415 -0.00580728 0.00223989 1 0.02
3.48208 -18.1255 -0.000122234 -0.00300977 1 0.02
-2.44614 -17.1235 0.00150649 -0.00573419 1 0.02
3.40454 -16.1963 0.00227269 0.00155633 1 0.02
-3.00424 -18.0755 -0.00101899 0.000173929 1 0.02
-0.841192 -18.0666 -0.000416711 -0.000516924 1 0.02
-1.92027 -18.0697 0.000272232 -0.00355398 1 0.02
9.73042 -12.592 -0.00423878 -0.000741845 1 0.02
8.22326 -15.3857 -0.00196111 -0.00152626 1 0.02
6.0543 -15.3209 -0.00363577 -0.000314415 1 0.02
-0.286165 -19.0237 -0.000865783 0.00172187 1 0.02
6.60946 -16.2836 0.00361889 0.0014608 1 0.02
5.53727 -16.2689 -0.00137166 0.00353753 1 0.02
-11.4443 -12.682 -0.00537918 -0.00303983 1 0.02
-6.64157 -13.445 0.00137931 0.00262382 1 0.02
-9.83187 -13.5303 0.000516697 -0.00335766 1 0.02
-8.21557 -12.5508 -0.00212444 -0.00126731 1 0.02
-5.58371 -13.4256 0.00329101 -0.00110959 1 0.02
-3.48791 -15.2522 -6.59334e-05 -0.0010972 1 0.02
-8.82952 -15.432 -0.00206611 0.0045533 1 0.02
-1.36612 -15.2363 -0.00637168 -0.00112543 1 0.02
-2.94626 -14.3175 0.000189513 0.000381577 1 0.02
-5.55339 -11.5784 -0.00189335 0.00818367 1 0.02
-0.834148 -14.3045 0.00391738 -0.000988715 1 0.02
-0.832092 -10.6376 0.00146552 -0.00084694 1 0.02
-1.36112 -13.3809 -0.00393606 0.000628936 1 0.02
4.47278 -16.2203 -5.14996e-05 -0.00203861 1 0.02
1.28718 -16.1673 0.00025489 0.00275144 1 0.02
1.31182 -18.0626 0.00286205 -0.000505527 1 0.02
3.95498 -17.1524 0.00447492 -0.00369083 1 0.02
2.86675 -15.2441 0.00122088 -0.00432161 1 0.02
7.07964 -13.4613 -0.00136591 -0.00231199 1 0.02
9.70495 -10.7367 0.000478422 0.00345531 1 0.02
9.22838 -13.5202 -0.00309093 0.00202909 1 0.02
5.96319 -7.94716 -0.00178062 -0.000267383 1 0.02
9.17788 -11.6468 -0.000606143 -0.0017368 1 0.02
8.14617 -13.4851 -0.000763638 -0.00148705 1 0.02
12.9557 -10.8385 -0.00378935 0.00479786 1 0.02
-8.76959 -13.5034 0.00248814 0.00380363 1 0.02
-10.8234 -7.9985 0.00220367 0.00456515 1 0.02
-7.74606 -15.3732 0.000528617 -0.001781 1 0.02
-8.18688 -10.6993 -0.0052578 0.00451539 1 0.02
-9.28089 -12.5778 -0.00311564 -0.00233467 1 0.02
-4.54933 -15.2661 0.00482354 0.000204975 1 0.02
-2.40401 -11.5531 0.00183118 0.0026013 1 0.02
-13.5475 -8.95825 -0.00276952 -0.000887402 1 0.02
-4.03111 -16.198 0.00294868 -0.00281025 1 0.02
-5.0409 -12.494 0.00273997 0.00204705 1 0.02
-1.88063 -12.4651 0.000806671 0.000436294 1 0.02
-0.30703 -17.111 -0.000206413 0.00209278 1 0.02
7.13486 -15.3501 -0.00150204 0.00121919 1 0.02
0.21744 -12.4625 -0.000619716 0.00632878 1 0.02
6.01804 -13.44 0.00302079 0.00406323 1 0.02
0.814468 -19.0302 0.000338171 0.00071788 1 0.02
7.05089 -11.6067 0.000527325 0.000804714 1 0.02
4.44268 -14.3399 -0.00325498 0.000433464 1 0.02
10.7951 -12.6301 0.00328878 0.00355312 1 0.02
8.70203 -14.4364 -0.00243286 -0.00180094 1 0.02
9.77653 -14.5284 0.000341337 0.00128959 1 0.02
7.57094 -10.6929 -0.00295556 0.0021686 1 0.02
10.3107 -13.5802 -0.00211817 0.000761448 1 0.02
10.2509 -11.6778 0.00108726 -0.00345118 1 0.02
9.15387 -9.80286 -0.00530171 0.00198304 1 0.02
-13.0281 -11.7962 0.00145318 0.00301927 1 0.02
-10.8711 -11.6962 0.00289087 0.0022037 1 0.02
-11.3919 -10.776 0.00546735 0.00238344 1 0.02
-7.1099 -8.85965 0.0013922 -0.00291096 1 0.02
-7.67098 -11.6108 0.000787785 -0.000566345 1 0.02
-3.51979 -17.1396 0.00265522 -0.00356473 1 0.02
-6.68075 -15.3281 0.00511632 -0.000342529 1 0.02
-6.6085 -11.5957 -0.00187515 0.00148463 1 0.02
-5.67578 -17.2267 -0.00166269 -0.00200692 1 0.02
-6.128 -14.3682 -0.00197501 -0.00177389 1 0.02
0.743994 -13.3792 -0.000431946 0.00170743 1 0.02
-8.27626 -14.4415 -0.00536148 -0.0010287 1 0.02
-1.37549 -17.1151 0.00504867 0.00164969 1 0.02
6.5335 -12.5201 0.000830042 0.00146138 1 0.02
1.80932 -15.2352 -0.000419822 0.00197801 1 0.02
7.69412 -16.3434 0.00235769 0.00641005 1 0.02
4.98925 -15.2916 -0.000618776 -0.000496658 1 0.02
0.223658 -16.1681 -0.00394997 -0.000753842 1 0.02
1.82788 -17.1192 0.0010866 0.00227578 1 0.02
5.50319 -14.3603 0.00247874 -0.00254795 1 0.02
5.98085 -9.75914 -0.0016534 -0.00698219 1 0.02
12.9225 -8.96137 0.00462959 -0.00349348 1 0.02
8.11472 -11.6244 0.000579191 -0.00644496 1 0.02
7.01337 -7.95364 0.00332924 -0.00352885 1 0.02
7.6328 -14.4137 8.97156e-05 -0.00196723 1 0.02
-9.25006 -10.7216 -0.000503362 -0.000360209 1 0.02
-11.9451 -11.7338 -0.00188592 -0.000200325 1 0.02
-8.72961 -11.6343 0.00472857 0.000485498 1 0.02
-9.73064 -4.35837 -0.0016597 0.00399147 1 0.02
-8.69166 -7.96948 0.00635861 0.00518642 1 0.02
-7.70312 -13.4743 -0.00188316 -0.00136262 1 0.02
-5.06413 -14.343 0.00143956 -0.000382374 1 0.02
-10.9034 -13.6275 -0.000352764 0.00187451 1 0.02
-4.59391 -17.1577 -0.00173076 0.00143582 1 0.02
-1.89164 -14.3104 0.000835227 0.00107495 1 0.02
-2.93401 -12.473 0.00103956 -0.00442127 1 0.02
-7.15674 -12.5267 0.00230459 0.000435414 1 0.02
0.750479 -15.2333 0.00248648 -0.000250215 1 0.02
-0.310149 -13.3787 -0.000473274 -0.002789 1 0.02
-0.306231 -11.546 0.000285568 -0.00136897 1 0.02
-0.305986 -15.233 0.00172427 -0.00229652 1 0.02
5.99364 -11.5877 -4.73665e-05 0.00449576 1 0.02
2.32888 -14.3068 -0.00432755 -0.00106385 1 0.02
3.92618 -15.2627 0.000985257 0.00159134 1 0.02
7.59686 -12.54 0.00155311 0.00203622 1 0.02
8.63771 -10.7149 0.00450479 -0.00458251 1 0.02
8.61069 -8.87983 0.000831569 0.00284892 1 0.02
7.03296 -9.77189 -0.00108766 0.00377669 1 0.02
11.865 -10.7978 0.000131604 -0.00299225 1 0.02
8.66621 -12.5657 0.00186051 0.00277231 1 0.02
-10.3207 -10.7459 0.00527422 0.00235973 1 0.02
